ID,Type,SKU,Name,Published,Description,Date sale price starts,Date sale price ends,In stock?,Stock,Sale price,Regular price
18,simple,,Sample Product,1,Sample Product,,,1,,5,10
19,simple,,Sample Product,2,Sample Product,,,1,,5,10
20,simple,,Sample Product,3,Sample Product,,,1,,5,10
21,simple,,Sample Product,4,Sample Product,,,1,,5,10
22,simple,,Sample Product,5,Sample Product,,,1,,5,10
23,simple,,Sample Product,6,Sample Product,,,1,,5,10
24,simple,,Sample Product,7,Sample Product,,,1,,5,10
25,simple,,Sample Product,8,Sample Product,,,1,,5,10
26,simple,,Sample Product,9,Sample Product,,,1,,5,10
27,simple,,Sample Product,10,Sample Product,,,1,,5,10
28,simple,,Sample Product,11,Sample Product,,,1,,5,10
29,simple,,Sample Product,12,Sample Product,,,1,,5,10
30,simple,,Sample Product,13,Sample Product,,,1,,5,10
